gender,age_group,n,bmi_mean,bmi_std,sbp_mean,sbp_std,dbp_mean,dbp_std,fbg_mean,fbg_std,waist_mean,waist_std,smoking_rate,drinking_rate,age_label
1,5,13028,24.59,4.67,120.14,11.84,72.35,9.18,92.03,12.94,81.77,11.31,0.33,0.8,25-29세
1,6,35371,25.27,4.3,121.36,11.79,73.97,9.42,93.75,15.72,83.95,10.5,0.32,0.83,30-34세
1,7,52202,25.86,4.21,122.53,12.41,75.9,9.97,96.02,17.55,86.28,10.28,0.3,0.85,35-39세
1,8,44142,26.21,4.16,123.95,12.8,77.89,10.24,99.04,20.92,87.85,10.14,0.3,0.85,40-44세
1,9,62566,25.91,3.89,124.23,13.01,78.96,10.34,101.58,23.51,87.73,9.5,0.37,0.85,45-49세
1,10,50551,25.61,3.65,124.6,13.1,79.46,10.13,104.44,25.31,87.07,9.0,0.4,0.84,50-54세
1,11,63910,25.21,3.42,124.88,13.46,79.37,9.96,106.5,25.97,86.43,8.57,0.38,0.81,55-59세
1,12,50462,24.87,3.24,125.66,13.76,78.84,9.69,108.62,27.49,86.01,8.27,0.34,0.77,60-64세
1,13,54602,24.52,3.11,126.67,14.0,77.78,9.53,109.36,27.78,85.84,8.14,0.3,0.72,65-69세
1,14,36023,24.34,3.07,127.66,14.03,76.49,9.36,109.42,26.72,86.06,8.12,0.24,0.65,70-74세
1,15,29575,24.2,3.11,129.14,14.43,75.06,9.52,109.12,25.57,86.4,8.42,0.18,0.56,75-79세
1,16,13242,23.92,3.07,130.72,14.84,74.01,9.65,108.91,26.5,86.45,8.51,0.12,0.46,80-84세
1,17,9550,23.58,3.13,131.47,15.75,73.27,10.08,109.27,26.85,86.21,8.78,0.09,0.37,85-89세
1,18,2597,22.89,3.24,131.34,16.26,72.57,10.18,107.72,26.44,85.35,9.06,0.05,0.25,90+세
2,5,18149,21.94,4.44,111.5,11.09,68.51,8.82,89.84,12.6,70.42,9.59,0.09,0.83,25-29세
2,6,32806,22.17,4.41,111.88,11.51,69.19,9.24,90.43,12.96,71.18,9.74,0.07,0.84,30-34세
2,7,40415,22.55,4.46,112.49,12.06,69.8,9.72,91.5,14.43,72.96,11.99,0.05,0.79,35-39세
2,8,29660,22.91,4.51,114.06,12.91,70.98,10.26,93.2,16.82,74.53,11.62,0.05,0.74,40-44세
2,9,50767,22.95,4.27,115.9,13.39,72.36,10.41,94.47,17.62,75.01,10.79,0.05,0.71,45-49세
2,10,40846,23.06,4.04,118.05,13.88,73.45,10.41,95.98,18.03,75.41,9.53,0.05,0.66,50-54세
2,11,60064,23.12,3.85,120.1,14.41,74.38,10.27,98.04,19.79,75.94,9.29,0.04,0.59,55-59세
2,12,49711,23.48,3.67,121.82,14.31,74.61,9.88,100.45,20.36,77.33,9.01,0.03,0.49,60-64세
2,13,58694,23.59,3.55,124.06,14.55,74.45,9.74,102.08,21.14,78.39,8.84,0.03,0.37,65-69세
2,14,37958,23.84,3.52,126.83,14.59,74.4,9.54,102.98,21.52,79.68,8.77,0.02,0.27,70-74세
2,15,33004,24.19,3.6,129.5,14.79,74.23,9.61,105.01,22.64,81.36,8.96,0.01,0.18,75-79세
2,16,14457,24.21,3.62,132.08,15.23,74.17,9.76,106.22,23.79,82.31,9.1,0.01,0.12,80-84세
2,17,11434,23.99,3.63,133.35,15.76,74.05,9.84,107.47,25.81,82.85,9.09,0.01,0.08,85-89세
2,18,3991,22.92,3.92,131.58,16.77,73.93,10.3,106.39,26.42,81.5,9.89,0.01,0.05,90+세
